,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Amount_Log
V19,0.028975302561134116,1.5020239355025085e-16,-7.118719066768033e-18,3.463522445596662e-16,-3.9805573017882795e-16,-1.4504208046983195e-16,-1.865597144392931e-16,-1.8810082655751772e-16,-3.8751862861351176e-16,-1.3761346879436734e-16,3.437632550965993e-17,-7.389747856226886e-16,1.4695566932489226e-16,-1.861400225975483e-16,1.9770204722750855e-16,-1.483184738613011e-15,1.3072408226766222e-15,-3.883099234888021e-16,-2.499137803305714e-15,1.0,2.614882341538791e-16,5.115884856313123e-16,-1.1637680017755397e-15,7.032034760831833e-16,2.5877075288493672e-17,9.577163384465414e-16,5.898033286517297e-16,-2.959370459016359e-16,-1.4053791305781839e-15,-0.056150787231159356,0.034783013036515056,-0.016126977375671127
V20,-0.05086601846835266,4.654551139305108e-16,2.50667497634529e-16,-9.316408952450645e-16,-1.8572469274698646e-16,-3.5540572101531124e-16,-1.8587549872133942e-16,9.379683965116646e-16,2.0337373844141382e-16,-2.3437201255055754e-16,-1.3315562020888575e-15,-1.4812986481925614e-16,3.4302823082768627e-16,5.623856068616621e-18,-1.1813415810258678e-17,4.3000855225009244e-16,5.176563991109766e-16,-1.3903082185168376e-15,-3.7113023021587404e-16,2.614882341538791e-16,1.0,-7.614596864048146e-16,1.0092853441649329e-15,2.7128849971219144e-16,1.2772145475794786e-16,1.410053578162753e-16,-2.8035038658351056e-16,-1.1388292622518563e-15,-2.436795485900816e-16,0.3394034045461662,0.020090324196974638,0.1447308935255345
V21,0.04473572628908045,-2.4574089417386587e-16,-8.480446676665688e-17,5.706192013553349e-17,-1.9495531570649426e-16,-3.9209757534272204e-16,5.83331648964142e-17,-2.027779286852274e-16,3.892797882576912e-16,1.9369527624153884e-16,1.177546680203721e-15,-5.658364095024855e-16,7.300526505643876e-16,1.0084610412063391e-16,-3.356561456685497e-16,6.605262611180825e-17,-4.715089809650195e-16,-8.230527090790586e-16,-9.408679913179306e-16,5.115884856313123e-16,-7.614596864048146e-16,1.0,3.649907950603145e-15,8.119580111568814e-16,1.7610536429210076e-16,-1.686082241916443e-16,-5.557329265483427e-16,-1.2112813171061738e-15,5.278775256171777e-16,0.10599892763771585,0.04041338061057565,0.08437884145766973
V22,0.14405905486145879,-4.2909438718268266e-16,1.5263331954819332e-16,-1.1339017399048806e-15,-6.276051371170312e-17,1.2537514849245887e-16,-4.705234695674811e-19,-8.898921641367619e-16,2.026927304278977e-16,-7.071869168133064e-16,-6.418201898812593e-16,7.772895273742887e-16,1.6446989102745604e-16,6.747721388834886e-17,3.7403829306912934e-16,-4.208920909942288e-16,-7.923386632671353e-17,-8.743398013835714e-16,-4.819364879908379e-16,-1.1637680017755397e-15,1.0092853441649329e-15,3.649907950603145e-15,1.0,-7.303916009614304e-17,9.970809319742974e-17,-5.018574548524348e-16,-2.5031866261963618e-17,8.461336896977236e-17,-6.627203072789682e-16,-0.06480064637320102,0.0008053175052983079,0.04466067219110779
V23,0.05114236494177282,6.168652436530227e-16,1.6342312638331767e-16,-4.983034749508378e-16,9.164206002886586e-17,-8.428682666724684e-18,1.0467124490962339e-16,-4.3874007839257624e-16,6.377260397492483e-17,-5.214137433230766e-16,3.2144914548249394e-16,-4.50533169539145e-16,1.8008849567119045e-16,-7.132063821134473e-16,3.8832038551662737e-16,-3.912242622329936e-16,5.020770392579101e-16,3.706214006042251e-16,-1.9120062578048154e-16,7.032034760831833e-16,2.7128849971219144e-16,8.119580111568814e-16,-7.303916009614304e-17,1.0,2.1305190029328768e-17,-8.232727103076186e-17,1.1145241168236824e-15,2.839721244163519e-16,1.4819033445012514e-15,-0.11263255363253537,-0.0026851557402507824,-0.029892249776872052
V24,-0.016181868459307136,-4.4251562937334496e-17,1.2479254148791624e-17,2.686833641516197e-19,1.5846375199907873e-16,-1.1492545365112402e-15,-1.0715891491067084e-15,7.434913059745356e-18,-1.0470966864794954e-16,-1.4303433360827164e-16,-1.3558851667401352e-16,1.9332673743056163e-15,4.436512313010862e-16,-1.3974698480577809e-16,2.0034820594137143e-16,-4.478262594798636e-16,-3.005984585691083e-16,-2.4038276613810414e-16,-8.986915787227416e-17,2.5877075288493672e-17,1.2772145475794786e-16,1.7610536429210076e-16,9.970809319742974e-17,2.1305190029328768e-17,1.0,1.0153909433800983e-15,1.3437216725460246e-16,-2.2741417470201383e-16,-2.819804827567825e-16,0.005146217430766927,-0.007220906715952582,-0.015484241678267724
V25,-0.23308279059831072,-9.605737402666084e-16,-4.478845863905263e-16,-1.1047337449307866e-15,6.0707156393623205e-16,4.808531869137339e-16,4.562860891491776e-16,-3.094081780632013e-16,-4.653279299017573e-16,6.757763488818423e-16,-2.8460524613966964e-16,-5.600474870340768e-16,-5.712973328249079e-16,-5.4976118194831325e-16,-8.547932209845472e-16,3.206422537749195e-16,-1.3454182802830804e-15,2.666806350880763e-16,-6.629212319357846e-17,9.577163384465414e-16,1.410053578162753e-16,-1.686082241916443e-16,-5.018574548524348e-16,-8.232727103076186e-17,1.0153909433800983e-15,1.0,2.646516743753724e-15,-6.406679398801401e-16,-7.008939470404916e-16,-0.047836863176140484,0.0033077055972996613,-0.003326404334269815
V26,-0.04140710060605856,-1.5812895377398922e-17,2.0573095296611221e-16,-1.2380624286864503e-16,-4.247267766169872e-16,4.3195414687166863e-16,-1.3570673248129112e-16,-9.6576365370981e-16,-1.7272763062777551e-16,-7.888852631707746e-16,-3.028119044190825e-16,-1.0032214647448814e-16,-2.3599688285863116e-16,-1.7692551719944352e-16,-1.6603270649022016e-16,2.8177912755469397e-16,-7.290009860413427e-16,6.932833169370984e-16,2.990167114552731e-16,5.898033286517297e-16,-2.8035038658351056e-16,-5.557329265483427e-16,-2.5031866261963618e-17,1.1145241168236824e-15,1.3437216725460246e-16,2.646516743753724e-15,1.0,-3.667714660858756e-16,-2.782203783187239e-16,-0.003208037150978886,0.0044553975012833254,-0.015035301537529744
V27,-0.0051345911239974755,1.1981236332134924e-16,-4.966952901962228e-16,1.0457467776682414e-15,3.977060870415758e-17,6.590482071768851e-16,-4.452461023430561e-16,-1.782105558577791e-15,1.2999428307434422e-16,-6.709655453239168e-17,-2.1979766088647894e-16,-2.6402807036751134e-16,-4.672390666543685e-16,-4.720898350671909e-16,1.0442741526232177e-16,-1.143519016628987e-15,6.789513022251935e-16,6.148525149662035e-16,2.242790892503769e-16,-2.959370459016359e-16,-1.1388292622518563e-15,-1.2112813171061738e-15,8.461336896977236e-17,2.839721244163519e-16,-2.2741417470201383e-16,-6.406679398801401e-16,-3.667714660858756e-16,1.0,-3.0612868120245353e-16,0.028825463424359793,0.01757972818951348,-0.044269799778735866
V28,-0.009412688179052135,2.0830815396728918e-15,-5.093835621862943e-16,9.775546470754552e-16,-2.7614028067346953e-18,-5.6139507078607e-18,2.5947542005622326e-16,-2.7765300125288505e-16,-6.200929902923697e-16,1.1105414147536788e-15,4.864782115587085e-17,-3.7923136685329124e-16,6.415167377154613e-16,1.1443723212653693e-15,2.289426763919487e-15,-1.1941296558075896e-15,7.588849292409198e-16,-5.5345396559478415e-17,7.976796011923423e-16,-1.4053791305781839e-15,-2.436795485900816e-16,5.278775256171777e-16,-6.627203072789682e-16,1.4819033445012514e-15,-2.819804827567825e-16,-7.008939470404916e-16,-2.782203783187239e-16,-3.0612868120245353e-16,1.0,0.010258215893044719,0.00953604091623609,-0.0017714417812367087
Amount,-0.010596373389030208,-0.22770865292240447,-0.5314089393280346,-0.2108804752899098,0.09873166631356645,-0.38635625616306496,0.2159811802252743,0.39731127818168616,-0.10307909564498216,-0.044245601964446046,-0.10150214079143287,0.00010397702176455398,-0.009541802153205721,0.005293409030421471,0.03375117176310099,-0.002985848124560203,-0.00390952671356023,0.007309042077000943,0.03565034071999803,-0.056150787231159356,0.3394034045461662,0.10599892763771585,-0.06480064637320102,-0.11263255363253537,0.005146217430766927,-0.047836863176140484,-0.003208037150978886,0.028825463424359793,0.010258215893044719,1.0,0.005631753006768552,0.5520054544840798
Class,-0.012322570929245588,-0.10134729859508294,0.0912886503446179,-0.19296082706741602,0.13344748623900718,-0.09497429899144802,-0.04364316069996494,-0.18725659151430013,0.019875123914794384,-0.0977326860740807,-0.21688294364103206,0.15487564474394433,-0.26059292487722485,-0.004569778799461309,-0.3025436958044028,-0.004223402267856675,-0.19653894030401736,-0.32648106724371595,-0.11148525388904133,0.034783013036515056,0.020090324196974638,0.04041338061057565,0.0008053175052983079,-0.0026851557402507824,-0.007220906715952582,0.0033077055972996613,0.0044553975012833254,0.01757972818951348,0.00953604091623609,0.005631753006768552,1.0,-0.00832641107781939
Amount_Log,-0.02851532202928451,-0.09637528805175613,-0.45031661333145157,-0.033913028522938385,-0.004677013052837257,-0.286188947845546,0.1638222427108802,0.09575759053673163,-0.020689873799771153,-0.0804982406226172,-0.009620577393870159,-0.049182392225437674,-0.01892986775794061,-0.0026599184022252174,0.02412014625520672,-0.06626959935276552,-0.09929519164170766,0.017123430485914887,0.04291601990109127,-0.016126977375671127,0.1447308935255345,0.08437884145766973,0.04466067219110779,-0.029892249776872052,-0.015484241678267724,-0.003326404334269815,-0.015035301537529744,-0.044269799778735866,-0.0017714417812367087,0.5520054544840798,-0.00832641107781939,1.0
